Z	L	D
ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ	ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ	ባህላዊ ስነ-ስርዓት ዕርቂ እንደርታ
ብ መለስ ሰለሞን መሓሪ	ብ መለስ ሰለሞን መሓሪ	ብ መለስ ሰለሞን መሓሪ
መጋቢት 2012 ዓ.ም. መቐለ፣ ትግራይ	መጋቢት 2012 ዓ.ም. መቐለ፣ ትግራይ	መጋቢት 2012 ዓ.ም. መቐለ፣ ትግራይ
መእተዊ	1. መእተዊ	1. መእተዊ
1.1. ድሕረ ባይታ መፅናዕቲ	1.1 ድሕረ ባይታ መፅናዕቲ	1.1 ድሕረ ባይታ መፅናዕቲ
ወዲ ሰብ፣ ካብ ፍጥረታት ዓለምና ዅሉ በዓል ብሩህ ኣእምሮ፣ መስተውዓሊ፣ ብልሂ፣ ብምዃኑ ዘጋጥምዎ ፀገማት፣ ፈተናታት ከባቢኡ ናብ ረብሕኡ ንምልዋጥ፣ ብዙሓት መፍትሒ ምህዞታት፣ ሜላታት ፈጢሩ፡፡	ወዲ ሰብ፣ ካብ ፍጥረታት ዓለምና ዅሉ በዓል ብሩህ ኣእምሮ፣ መስተውዓሊ፣ ብልሂ፣ ብምዃኑ ለጋጥምዎ ፀገማት፣ ፈተናታት ከባቢኡ ላብ ረብሕኡ ልምልዋጥ፣ ብዙሓት መፍትሒ ምህዞታት፣ ሜላታት ፈጢሩ፡፡	ወድ ሰብ፣ ካፍጥረታት ዓለምና ኹሉ በዓል ብሩህ ኣእምሮ፣ መስተውዓሊ፣ ብልሂ፣ ብምዃኑ ዳጋጥምዎ ሽግራት፣ ፈተናታት ከባብኡ ዳብ ረብሕኡ ድምልዋጥ፣ ብዙሓት መፍትሒ ምህዞታት፣ ሜላታት ፈጥሩ፡፡
ቕድሚ እቲ ሐዚ በፂሕዎ ዘሎ ኣተሓሳስባ፣ ዕብየትን ምዕባለን፥ ኣብ ስርዓት ኣልባ ዘመን፣ ሰብኣዊ ክብርን ኣተሓሳስባን ኣብ ዘይዓበየሉ ዘመናት ሓሊፎም፡፡	ቕድሚ እቲ ኸዚ በፂሕዎ ለሎ ኣተሓሳስባ፣ ዕብየትይ ምዕባለይ፥ ኣብ ስርዓት ኣልባ ዘበን፣ ሰብኣዊ ክብርይ ኣተሓሳስባይ ኣብ ለይዓበየሉ ዘበናት ሓሊፎም፡፡	ቕድሚ እቲ ሐዚ በፅሕዎ ድንሆ ኣተሓሳስባ፣ ዕብየትይ ምዕባለይ፥ ኣብ ስርዓት ኣልባ ዘበን፣ ሰብኣዊ ኽብርይ ኣተሓሳስባይ ደይዓበየሉ ዘበናት ሓልፎም፡፡
ኣብ ክንዲ ምትሕብባር፣ ምትሕግጋዝ፣ ምትሕስሳብ፣ ፍቕርን ሰላምን ዕርቅን ምፍጣር፣ ኩሉ ንዓይ፣ ኩሉ በኣየ ይኹን፣በይነይ ክነብር፣ በይነይ ጅግና፣ ኣነ ዝበልኩዎ ተዘይዀይኑ፣ ኣነ ፍሉይ ሰብ እየ ብዝብሉ መግለፂ ድሕረት ምኽንያታት ናብ ዘየድሊ ጐንፂ፣ ንሕንሕ ብምእታው፣ ንኒባዕሉ ብምጥቅቃዕ፣ ዝደልዮ ነገር ብሓይሊ፣ፅዕንቶ ብምፍጣር ኣብ ልዕሊ ከምኡ ዝበሉ ደቂ ሰብ ፍጡራት ኪሳራታት ንብረት ኰነ ህይወት በፂሖም፡፡	ኣብ ህንዲ-ኣፍ ምትሕብባር፣ ምትሕግጋዝ፣ ምትሕስሳብ፣ ፍቕርይ ሰላምይ ዕርቅይ ምፍጣር፣ ኹሉ ልኣየ፣ ኹሉ በባየይኹን፣በይነይ ክነብር፣ በይነይ ጅግና፣ ኣነ ልበልኹዎ ተለይዀይኑ፣ ኣነ ፍሉይ ሰብ እየ ብልብሉ መግለፂ ድሕረት ምኽንያታት ላብ ለየድሊ ጐንፂ፣ ንሕንሕ ብምእታው፣ ልሊባዕሉ ብምጥቕቓዕ፣ ልደልዮ ነገር ብጉልበት፣ተፅእኖ ብምፍጣር ኣብ ልዕሊ ሃምኡ ደቂ ሰብ ፍጡራት ኪሳራታት ንብረት ኰነ ህይወት በፂሖም፡፡	ኣብ ህንዲ-ኣፍ ምትሕብባር፣ ምትሕግጋዝ፣ ምትሕስሳብ፣ ፍቕርይ ሰላምይ ዕርቅይ ምፍጣር፣ ኹሉ ድኣነ፣ ኹሉ ብኣነይኹን፣በሕተይ ክነብር፣ በይነይ ጅግና፣ ኣነ ድበኹዎ ተደይኾይኑ፣ ኣነ ፍሉይ ሰብ ይአ ብድውሉ መግለፂ ድሕረት ምኽንያታት ዳብ ደየድሊ ኣምባጓሮ፣ ንሕንሕ ብምእታይ፣ ድድባዕሉ ብምጥቕቓዕ፣ ዳድልዮ ነገር ብጉልበት፣ተፅእኖ ብምፍጣር ኣብ ልዕሊ ሃምኡ ደቂ ሰብ ፍጡራት ክሳራታት ንብረት ኾነ ህይወት በፅሖም፡፡
ድልየት ወድሰብ ወሰን ስለዘይብሉ፥ ብስስዐ፣ ግዝኣት ብምስፍሕፋሕ፣ ልዕልነት ሓይሊ ሚዛን ንምሕላው፣ ካብ ውልቀ ሰባት ሓሊፉ፥ ሃገር ምስ ሃገር፥ ወገን ብምፍላይ (ብመዝረ) ብዙሕ ህይወት ዝሓለፈሉ ታሪክ 1ይን 2ይን ኵናት ዓለም ይጥቀስ፡፡	ድልየት ወድሰብ ወሰን ስለለይብሉ፥ ብስስዐ፣ ግዝኣት ብምስፍሕፋሕ፣ ልዕልነት ሓይሊ ሚዛን ልምሕላው፣ ካብ ውልቀ ሰባት ሓሊፉ፥ ሃገር ምስ ሃገር፥ ወገን ብምፍላይ (ብመዝረ) ብዙሕ ህይወት ልሓለፈሉ ታሪክ 1ይን 2ይን ኵናት ዓለም ይጥቀስ፡፡	ድልየት ወድሰብ ወሰን ስለደይውሉ፥ ብስስዐ፣ ግዝኣት ብምስፍሕፋሕ፣ ልዕልነት ሓይሊ ሚዛን ድምሕላው፣ ካግለ ሰባት ሓልፉ፥ ሃገር ምስ ሃገር፥ ወገን ብምፍላይ (ብመዝረ) ብዙሕ ህይወት ድሓለፈሉ ታሪኽ 1ይይ 2ይይ ኵናት ዓለም ይጥቀስ፡፡
ህዝብታት ዓለም ዝሓለፉዎ ታሪክ ጐንፅታት ሕድሕድ፥ ኣብ ኣህጉርና፣ ኣብ ሃገርና ኢትዮጵያ ኰነ ኣብ ትግራይ ብዓሌት፣ ብዘርኢ፣ ብከባቢ፣ ብብሄር፣ ሓው ምስ ሓው ባእሲ፣ ብነብሲ ምድልላይ፣ ኣተሓሳስባ ድሕረት ጐዳእቲ ባህላዊ ፍፃመታት ካብ ዝበሃሉ ሰብ ንሰብ ብምስዓሩ፣ ብምጕድኡ ወይከዓ ብምቕታሉ፣ መላሲ ደም፣ ፈዳይ ሕነ እናተብሃለ ከም ፍሉይ መለክዒ ጅግንነት ተገይሩ እናተቘፀረሉ ዝነበረ ዘመናት፥ ተዘክሮ ቀረባ እዋን እዩ፡፡	ህዝብታት ዓለም ልሓለፉዎ ታሪክ ጐንፅታት ሕድሕድ፥ ኣብ ኣህጉርና፣ ኣብ ሃገርና ኢትዮጵያ ኰነ ኣብ ትግራይ ብዓሌት፣ ብዘርኢ፣ ብከባቢ፣ ብብሄር፣ ሓው ምስ ሓው ባእሲ፣ ብነብሲ ምድልላይ፣ ኣተሓሳስባ ድሕረት ጐዳእቲ ባህላዊ ፍፃመታት ካብ ልበሃሉ ሰብ ልሰብ ብምስዓሩ፣ ብምጕድኡ ወይ ብምቕታሉ፣ መላሲ ደም፣ ፈዳይ ሕነ ላተብሃለ ሃም ፍሉይ መለክዒ ጅግንነት ተገይሩ ላተቘፀረሉ ልነበረ ዘበናት፥ ተዘክሮ ቀረባ እዋን እዩ፡፡	ህዝብታት ዓለም ድሓለፉዎ ታሪኽ ጐንፅታት ሕድሕድ፥ ኣብ ኣህጉርና፣ ኣብ ሃገርና ኢትዮጵያ ኾነ ኣብ ትግራይ ብዓሌት፣ ብዘርኢ፣ ብኸባቢ፣ ብብሄር፣ ሓው ድ ሓው ባእሲ፣ ብነብሲ ምድልላይ፣ ኣተሓሳስባ ድሕረት ጐዳእቲ ባህላዊ ፍፃመታት ካድበሃሉ ሰብ ድሰብ ብምስዓሩ፣ ብምጕድኡ ወይ ብምቕታሉ፣ መላሲ ደም፣ ፈዳይ ሕነ ላትብሃለ ሃም ፍሉይ መለክዒ ጅግንነት ትገውሩ ዳተቖፀረሉ ድነበረ ዘበናት፥ ተዘክሮ ቐረባ ግዜ ይኡ፡፡
