Source_label,Z,L,D
0,???? ??-???? ??? ?????,???? ??-???? ??? ?????,???? ??-???? ??? ?????
0,? ??? ???? ???,? ??? ???? ???,? ??? ???? ???
0,???? 2012 ?.?. ???? ????,???? 2012 ?.?. ???? ????,???? 2012 ?.?. ???? ????
0,1. ????,1. ????,1. ????
0,1.1. ??? ??? ?????,1.1 ??? ??? ?????,1.1 ??? ??? ?????
0,?? ??? ?? ????? ???? ?? ??? ??? ????? ??????? ???? ???? ????? ????? ????? ???? ?? ???? ?????? ???? ???? ?????? ???? ?????,?? ??? ?? ????? ???? ?? ??? ??? ????? ??????? ???? ???? ????? ????? ????? ???? ?? ???? ?????? ???? ???? ?????? ???? ?????,?? ??? ?????? ???? ?? ??? ??? ????? ??????? ???? ???? ????? ????? ????? ???? ?? ???? ?????? ???? ???? ?????? ???? ?????
0,??? ?? ?? ???? ?? ??????? ????? ?????? ?? ???? ??? ???? ???? ???? ??????? ?? ?????? ???? ??????,??? ?? ?? ???? ?? ??????? ????? ?????? ?? ???? ??? ???? ???? ???? ??????? ?? ?????? ???? ??????,??? ?? ?? ???? ??? ??????? ????? ?????? ?? ???? ??? ???? ???? ???? ??????? ?????? ???? ??????
0,?? ??? ??????? ??????? ??????? ???? ???? ???? ????? ?? ???? ?? ??? ???????? ????? ???? ???? ?? ????? ??????? ?? ??? ?? ?? ???? ???? ???? ?????? ?? ???? ???? ???? ?????? ????? ??????? ???? ??? ????????? ????? ?? ??? ??? ??? ?? ?? ???? ????? ???? ?? ???? ??????,?? ???-?? ??????? ??????? ??????? ???? ???? ???? ????? ?? ???? ?? ??????????? ????? ???? ???? ?? ????? ??????? ?? ??? ?? ?? ???? ???? ???? ?????? ?? ???? ???? ???? ?????? ????? ??????? ???? ??? ?????????? ????? ?? ??? ??? ?? ?? ???? ????? ???? ?? ???? ??????,?? ???-?? ??????? ??????? ??????? ???? ???? ???? ????? ?? ???? ?? ??????????? ????? ???? ???? ?? ???? ??????? ?? ??? ?? ?? ???? ???? ???? ?????? ?? ???? ?????? ???? ?????? ????? ??????? ???? ??? ?????????? ????? ?? ??? ??? ?? ?? ???? ????? ???? ?? ???? ??????
0,???? ???? ??? ??????? ????? ???? ???????? ????? ??? ??? ?????? ?? ??? ??? ???? ??? ?? ???? ??? ????? (????) ??? ???? ????? ??? 1?? 2?? ??? ??? ??????,???? ???? ??? ??????? ????? ???? ???????? ????? ??? ??? ?????? ?? ??? ??? ???? ??? ?? ???? ??? ????? (????) ??? ???? ????? ??? 1?? 2?? ??? ??? ??????,???? ???? ??? ??????? ????? ???? ???????? ????? ??? ??? ?????? ??? ??? ???? ??? ?? ???? ??? ????? (????) ??? ???? ????? ??? 1?? 2?? ??? ??? ??????
0,????? ??? ????? ??? ????? ????? ?? ?????? ?? ???? ????? ?? ?? ???? ????? ????? ????? ????? ?? ?? ?? ???? ???? ?????? ?????? ???? ???? ???? ????? ?? ???? ?? ??? ?????? ????? ???? ?????? ??? ??? ??? ?? ?????? ?? ??? ???? ????? ???? ??????? ???? ????? ???? ??? ??? ????,????? ??? ????? ??? ????? ????? ?? ?????? ?? ???? ????? ?? ?? ???? ????? ????? ????? ????? ?? ?? ?? ???? ???? ?????? ?????? ???? ???? ???? ????? ?? ???? ?? ??? ?????? ????? ?? ?????? ??? ??? ??? ?? ????? ?? ??? ???? ????? ???? ?????? ???? ????? ???? ??? ??? ????,????? ??? ????? ??? ????? ????? ?? ?????? ?? ???? ????? ?? ?? ???? ????? ????? ????? ????? ?? ? ?? ???? ???? ?????? ?????? ???? ???? ???? ????? ????? ?? ??? ?????? ????? ?? ?????? ??? ??? ??? ?? ????? ?? ??? ???? ????? ???? ?????? ???? ????? ???? ??? ?? ????
0,??? ??? ???? ????? ?? ??? ?????? ????? ?????? ????? ???? ?? ??? ????? ?? ?????,??? ??? ???? ????? ?? ??? ?????? ????? ?????? ????? ?? ?? ??? ????? ?? ?????,??? ??? ???? ????? ?? ??? ?????? ????? ?????? ????? ?? ?? ??? ????? ?? ?????
